section,section_id,section_sis_id,submitted,attempt,861156: Hvilken bachelor skal du starte på?,1,861157: Hvad er dit køn?,1,861158: Angiv din alder,1,861159: Hvor har du taget din gymnasieeksamen?,1,"861160: Havde du noget som helst programmeringserfaring inden du startede?
",1,"861161: Hvordan oplevede du kurset? Prøv at beskrive kurset, som du vil forklare det til en studiekammerat der ikke har taget kurset.",0,"861162: Nævn tre ting der skal forblive det samme, hvis vi afholder det igen.",0,"861163: Nævn tre ting der kan forbedres ved kurset, hvis vi afholder det igen.",0,861164: Hvordan var sværhedsgraden af øvelserne/opgaverne i forhold til dit niveau?,0,"861165: Kom pair programming til at fungere i jeres, gruppe og hvad synes du det? Var der noget vi kunne have gjort bedre, for at jeres samarbejde i gruppen/parret kom til at glide bedre?",0,"861166: Hvordan fungerede code-review og feedback elementerne i kurset for dig? Var der noget vi kunne have gjort bedre, så du havde fået bedre feedback? Noget vi kunne have gjort bedre for at det var nemmere for dig at give feedback til andre?",0,"861167: Hvis vi skulle gentage kickstart-kurset, vil du så anbefale andre at deltage? Hvordan vil du i så fald ""sælge"" kurset til andre?",0,"861168: Har du ellers nogle generelle kommentarer til afviklingen af kurset? (fx kunne det være kommentarer til den generelle struktur (primært hands-on), de ting I har været igennem, indholdet af Martin og Daniels oplæg morgen/eftermiddag, eller det kan være kommentarer om ting i savnede og som forventede at I havde lært? )",0,n correct,n incorrect,score
2024 Kickstart u33,178519,,2024-08-16 22:00:00 UTC,1,Datalogi,1,Mand,0,21-23,0,STX,1,Nej,0,Det var bare super hygge :),0,,0,"1.

 

2.

 

3.",0,,0,,0,,0,,0,,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 22:00:00 UTC,1,Datalogi,1,Mand,0,21-23,0,STX,1,Ja,1,"Det var 5 dage, hvor man selv kunne prøve kræfter med programmering. Det foregik i et rart tempo, og jeg synes både TA og professor var mega hjælpsomme. Man blev kastet ud i det, og det synes jeg var fedt.",0,"at man kan køre i sit eget tempo

pararbejde",0,,0,,0,,0,,0,,0,,0,11,2,3
2024 Kickstart u33,178519,,2024-08-16 22:00:00 UTC,1,Datalogi-økonomi,0,Kvinde,1,24-29,0,HF,0,Nej,0,"Jeg har fået rigtig meget ud af kurset, og føler mig tryggere nu op til studiestart i programmering og det sociale jeg har fået ud af at være på kurset.",0,"det er fedt at kunne sidde med koden selv.

syntes det var fedt med kønsfordelingen i de mindre grupper.

godt at der påde er kvindelige og mandlige tutore.

 ",0,"at de der worksheets er lidt mere grundige i deres forklaring.

 ",0,den var super fin.,0,de virkede super godt.,0,,0,,0,,0,9,4,1
2024 Kickstart u33,178519,,2024-08-16 22:00:00 UTC,1,Machine learning og datavidenskab,0,Kvinde,1,18-20,0,HHX,0,Ja,1,"Kurset var meget godt da jeg ikke havde programmeret i disse sprog før derfor er det min oplevelse at jeg har lært rigtigt meget. Jeg havde programeret i CSS og HTML men ikke i andre sprog. 

 ",0,Jeg kunne meget godt lide at man var delt i grupper men jeg ,0,,0,,0,,0,,0,,0,,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 11:26:50 UTC,1,Datalogi,1,Mand,0,21-23,0,STX,1,Nej,0,"Informerende, sjovt og lærende. ",0,,0,,0,"Syntes hele forløbet igennem at man blev udfordret, men med god guidelines i form af tutorer og info i worksheets",0,Det fungerede fint:),0,"Det fungerede fint, men det var lidt svært at vide hvad der er god kodning",0,"Helt klart! Ikke nok med at man bliver kickstartet inde for programmeringens verden, så får man også sat ansigt på de mennesker og tutorer som følger en de næste år ",0,,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 10:20:46 UTC,1,Kognition og Data Science,0,Kvinde,1,21-23,0,STX,1,Nej,0,Meget stille og roligt. God introduktion til programmering på en sjov og hyggelig måde.,0,"spil projektet 

oplæg fra en specialiseret 

gruppearbejde",0,"mere gruppe arbejde (måske mere blandet)

klare formål i forhold til hvad der er godt at lære

 ",0,Tilpas,0,"Det var lidt svært, da vi ikke havde et konkret fokus ",0,Synes ikke vi har fået så meget feedback ,0,Ja det er fedt at møde andre fra ens uddannelse og sjovt at få en introduktion til programmering,0,"Synes det var fedt, at man bare kunne komme hurtigt i gang og få prøvet nogen ting af ",0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 10:05:21 UTC,1,Machine learning og datavidenskab,0,Mand,0,40 eller over,0,STX,1,Ja,1,"Kurset er hands-on og eksperimenterende, og i løbet af ugen ender man med at have et godt indblik i måder at løse programmer med kode.",0,"Worksheets er glimrende da de giver en gennemgang af mange funktioner.

Blanding mellem lectures, men mest tid brugt på at kode.

TA var tilgængelige og hjalp godt.",0,Giv gerne en 5-pager eller deromkring med de forskellige funktioner og syntaxer. ,0,Passende,0,"Det virkede OK, men jeg har det bedst ved både at tænke og skrive. Det virkede bedst når man talte igennem problemer eller løsninger, og så derefter lavede det i sin egen kode.",0,Intet at bemærke,0,Du får din tankegang startet på hvordan man løser problemer med kode. Det er basic men sjovt og gør du vil starte med et vist fundament,0,Anbefales,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 10:03:39 UTC,1,Datalogi,1,Mand,0,24-29,0,STX,1,Nej,0,"Kurset var meget lige til. Hver mogen havde vi oplæg, som var meget spiselige og ikke særlig tunge rent fagligt.

Derefter blev vi delt op i workgroups, som virkede meget effektivt. Dette skyldtes, at man havde mange TAA's til at hjælpe + man kunne sparre med en anden studerende i gruppearbejde.

Der var ikke meget pres, eftersom man selv kunne sætte sit målniveau ifht. hvilket projekt man ville lave. Hermed en del frihed under ansvar, hvilket også var rigtig lækkert.

 

 ",0,"Korte oplæg

Workgroups

Gruppearbejde",0,"Når vi bliver inddelt i workgroups, må TA's gerne lige præsentere de helt simple og basale funktioner på tavlen, så man kan følge med fra start.",0,"De var lidt svære, men det hjalp med vejledning fra TAs.",0,"Pair programming fungerede godt. Især hvis man falder fra, kan ens makker holde en i gang og omvendt.",0,Man kunne  evt. løbende præsentere projektet for andre i vores workgroups.,0,"Ja.

Kickstart-kurset giver dig vigtig viden og egenskaber, du skal bruge til programmering.",0,"Man kunne i første eller andet oplæg præsentere, hvordan man navigerer i p5.js og de helt basalle ting man skal kunne bruge. Det kan fx. være Draw- og Function funktionen. Hvordan man laver dem og hvorfor man bruger dem. Ellers var alt meget godt.",0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:46:08 UTC,1,Kognition og Data Science,0,Kvinde,1,21-23,0,STX,1,Nej,0,Kurset er foregået i p5js. et mere simplificeret programmeringsprogram end fx. Python. Vi har haft enkelte forlæsninger i plenum og har ellers tilbragt hovedparten af vores tid i opdelte klasselokaler hvor vi har kunnet spørge vores tildelte TA's om hjælp og til råds. En kæmpe ros skal især lyde til vores TA's som har været enormt pædagogiske i deres forklaringer. - en fremtidigt studerende i Charlie gruppen;),0,Jeg synes oplægget fra Valkyrie Savage var enormt givende så det synes jeg klart skal fortsætte! Dertil har TA's tilgang til deres funktion været super. En spørgerunde om studiestart var også mega godt givet ud. ,0,"Som en der aldrig har programmeret før kunne jeg godt have ønsket at man i auditoriet fra start fik opdelt dem som har en smule erfaring og dem som har intet kendskab til programmering. Herefter ville man kunne vælge om man ville direkte ud i klasselokalerne eller starte ud med en hel nøgtern gennemgang af programmering 101 dvs. curly brackets, setup funktion etc. - hvad jeg godt kunne have ønsket. Jeg har lært enormt meget undervejs men det havde været godt givet ud med en bedre gennemgang af grundprincipperne i programmering fra start. ",0,Jeg synes de var fine. ,0,,0,,0,Jeg kunne godt have tænkt mig lidt mere teoretisk viden inden vi begyndte med hands-on fordi jeg lærer bedst sådan; men det er jo en smags sag;). ,0,,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:37:32 UTC,1,Datalogi,1,Mand,0,21-23,0,STX,1,Nej,0,"Det har fungeret meget godt med de worksheets, som vi har fået udleveret. Jeg føler også, at de har været på et okay niveau ift. vores udgangspunkt fra dag til dag. Der kunne måske godt være lidt flere beskrivelser af hvad vi præcis koder og måske noget perspektivering til hvor meget vores worksheets relatere til de projekter, som vi skal skrive på studiet. Dog har det været en god hjælp at kunne tage fat i en sidemakker eller TA's, hvis man havde brug for hjælp.",0,"Jeg vil mene, at 'marshmallow challenge' var en god lille øvelse til at ryste øvelsesholdene sammen.

 

Det var dejligt med en spørgerunde om studiet.

 

Jeg synes, at tidsrummet fra 9-15 er meget passende.",0,"De udleverede worksheets måtte gerne have beskrevet lidt mere trin for trin, hvordan en opgave skulle løses.

 

Frokostpausen behøver måske ikke være så lang, men så bare have lidt flere små pauser i løbet af dage. 

 

 ",0,"Sværhedsgraden var for det meste tilpas, men også nogle gange meget svært. Det var godt, at der var tilpas mange TA's, der kunne hjælpe.",0,"Det fungerede nogenlunde. Jeg synes, at det er en god ide at kunne snakke med hinanden, om hvad der skal gøres eller hvad den anden har gjort. Men det er nok mest optimalt at arbejde på hver sin computer, fordi man gør ting lidt forskelligt. ",0,"Det fungerede godt, da man blev gjort opmærksom på hvad der måske ikke gav så god mening i sin kodning. ",0,"Jeg er helt klart kommet hjem med en lidt større forståelse af hvad det vil sige, så det virker ikke nær så skræmmende at starte på datalogi nu.",0,"Valkyries oplæg var meget spændende og hjalp også med at gøre dagen lidt mere afbalanceret, så det ikke kun var projektarbejde hele dagen.",0,10,3,2
